2017044	8 6 1	15	38,257,620	14708	1,040	 	 	38414	173	2017-02-20
2017043	0 5 0	5	36,851,842	9060	1,040	12849	346	 	 	2017-02-19
2017042	0 0 0	0	40,592,188	97715	1,040	 	 	 	 	2017-02-18
2017041	4 8 0	12	40,449,832	11343	1,040	 	 	21673	173	2017-02-17
2017040	8 9 9	26	43,566,574	23435	1,040	23900	346	 	 	2017-02-16
2017039	3 9 5	17	41,892,482	7629	1,040	 	 	22577	173	2017-02-15
2017038	1 3 4	8	41,215,136	11892	1,040	 	 	27915	173	2017-02-14
2017037	8 9 7	24	41,779,470	12870	1,040	 	 	39742	173	2017-02-13
2017036	6 5 0	11	40,375,428	13211	1,040	 	 	36621	173	2017-02-12
2017035	6 2 4	12	37,761,014	12321	1,040	 	 	24372	173	2017-02-11
2017034	3 4 8	15	38,998,338	26244	1,040	 	 	48641	173	2017-02-10
2017033	1 1 4	6	40,052,228	14159	1,040	16903	346	 	 	2017-02-09
2017032	2 3 7	12	39,955,650	14682	1,040	 	 	17037	173	2017-02-08
2017031	3 7 6	16	39,475,188	17016	1,040	 	 	28675	173	2017-02-07
2017030	1 0 7	8	39,176,878	11742	1,040	 	 	19374	173	2017-02-06
2017029	2 7 2	11	38,513,422	16970	1,040	23260	346	 	 	2017-02-05
2017028	1 9 3	13	36,527,012	9881	1,040	 	 	28381	173	2017-02-04
2017027	8 7 3	18	33,280,928	11507	1,040	 	 	23841	173	2017-02-03
2017026	2 5 9	16	41,206,326	6499	1,040	 	 	12258	173	2017-01-26
2017025	3 5 9	17	43,549,888	11819	1,040	 	 	25260	173	2017-01-25
2017024	7 0 9	16	45,068,642	16691	1,040	 	 	24521	173	2017-01-24
2017023	2 5 0	7	44,587,890	11090	1,040	 	 	24425	173	2017-01-23
2017022	0 2 8	10	44,862,754	23428	1,040	 	 	26759	173	2017-01-22
2017021	8 5 4	17	43,560,544	11820	1,040	 	 	50750	173	2017-01-21
2017020	8 9 3	20	44,602,200	16826	1,040	 	 	41599	173	2017-01-20
2017019	6 0 6	12	47,163,972	20402	1,040	19570	346	 	 	2017-01-19
2017018	3 1 5	9	45,338,116	26849	1,040	 	 	31936	173	2017-01-18
2017017	8 1 7	16	44,841,668	37535	1,040	 	 	51387	173	2017-01-17
2017016	4 6 9	19	42,816,064	20332	1,040	 	 	36967	173	2017-01-16
2017015	9 5 0	14	41,649,168	8937	1,040	 	 	24004	173	2017-01-15
2017014	2 2 1	5	43,540,354	9180	1,040	10359	346	 	 	2017-01-14
2017013	5 8 2	15	45,404,526	17861	1,040	 	 	47799	173	2017-01-13
2017012	1 2 5	8	44,116,942	8939	1,040	 	 	20329	173	2017-01-12
2017011	9 0 9	18	44,494,992	8901	1,040	10937	346	 	 	2017-01-11
2017010	9 7 6	22	44,273,782	9235	1,040	 	 	24744	173	2017-01-10
2017009	2 0 2	4	46,734,400	13129	1,040	12348	346	 	 	2017-01-09
2017008	1 6 9	16	44,452,040	37743	1,040	 	 	52484	173	2017-01-08
2017007	7 8 3	18	40,703,854	14541	1,040	 	 	37632	173	2017-01-07
2017006	8 8 8	24	45,881,388	42818	1,040	 	 	 	 	2017-01-06
2017005	2 4 6	12	44,818,408	39722	1,040	 	 	53970	173	2017-01-05
2017004	3 1 7	11	43,890,190	11572	1,040	 	 	25424	173	2017-01-04
2017003	6 5 0	11	42,206,588	16062	1,040	 	 	41742	173	2017-01-03
2017002	7 7 9	23	42,048,806	16594	1,040	22885	346	 	 	2017-01-02
2017001	3 6 9	18	40,532,262	42606	1,040	 	 	52680	173	2017-01-01
2016359	8 8 3	19	41,004,312	11824	1,040	12001	346	 	 	2016-12-31
2016358	1 1 0	2	46,185,540	18929	1,040	15797	346	 	 	2016-12-30
2016357	4 1 5	10	45,880,896	9197	1,040	 	 	21341	173	2016-12-29
2016356	1 2 5	8	43,606,390	18633	1,040	 	 	32356	173	2016-12-28
2016355	9 4 2	15	45,168,040	14108	1,040	 	 	22473	173	2016-12-27
2016354	4 2 8	14	44,430,754	10236	1,040	 	 	20967	173	2016-12-26
2016353	0 8 4	12	43,502,218	11773	1,040	 	 	32633	173	2016-12-25
2016352	0 1 6	7	43,102,150	8177	1,040	 	 	22900	173	2016-12-24
2016351	8 1 8	17	45,944,990	21347	1,040	18536	346	 	 	2016-12-23
2016350	3 8 3	14	46,463,106	19701	1,040	24623	346	 	 	2016-12-22
2016349	0 4 9	13	44,993,862	7963	1,040	 	 	22566	173	2016-12-21
