2011001	573	142	2	1	2	5	4	2	3	5	1	3	6	1	1	19	12	2	10	15	3	18	4	2	1	5	4	41	3	29	6	7	2	22	2	13	4	6	16	5	1	3	7
2011002	624	726	3	1	2	6	1	3	6	7	2	4	7	1	2	20	13	3	11	7	4	19	5	3	2	6	1	42	4	30	7	8	3	23	1	14	5	7	6	6	2	4	15
2011003	018	937	4	2	1	3	2	4	1	7	3	9	8	2	3	21	14	4	12	1	5	9	6	4	1	3	2	43	5	31	8	9	4	24	2	15	6	8	1	7	3	5	19
2011004	600	640	0	3	2	1	4	5	6	1	4	1	9	3	4	22	15	5	6	2	6	1	7	5	2	1	4	44	6	32	9	10	0	25	3	16	7	9	2	1	4	6	10
2011005	758	571	1	1	3	2	1	5	1	7	5	2	10	4	5	23	16	5	1	3	7	2	8	6	3	2	1	45	7	7	10	11	1	1	4	17	8	10	3	2	5	7	13
2011006	338	242	2	1	2	3	4	1	2	1	6	3	11	5	2	24	17	1	2	4	8	3	9	7	4	3	4	46	8	1	11	12	2	1	2	18	9	11	4	3	6	8	8
2011007	765	285	3	2	2	4	1	5	3	2	8	4	12	6	2	25	18	2	3	5	9	4	10	8	5	4	1	47	9	2	8	13	3	2	1	19	10	5	5	4	7	9	15
2011008	156	982	4	3	2	5	2	1	4	3	8	9	13	7	1	26	19	3	4	6	10	9	11	9	6	5	2	48	10	3	8	14	4	3	2	20	11	1	6	5	8	10	19
2011009	263	176	5	1	1	6	3	2	6	7	1	1	14	1	2	27	20	4	5	7	11	1	12	10	7	6	3	49	11	7	1	15	5	4	1	21	12	2	6	6	9	11	14
2011010	070	573	6	1	2	3	4	5	1	7	2	2	15	1	3	28	21	5	6	8	12	2	13	11	8	7	4	50	12	7	2	16	6	5	2	3	13	3	1	7	10	12	15
2011011	374	635	7	2	3	3	5	5	6	1	3	3	16	2	4	29	22	1	6	9	13	3	14	12	9	3	5	51	13	1	3	17	7	6	3	1	14	5	2	8	11	13	14
2011012	722	587	8	3	4	1	6	5	1	7	8	4	17	3	5	30	23	5	1	10	14	4	15	13	10	1	6	52	14	2	8	18	8	7	4	2	15	1	3	7	12	14	20
2011013	279	879	9	4	5	2	7	1	2	7	8	9	18	4	6	31	24	1	2	11	8	5	16	14	11	2	7	53	15	7	1	19	9	8	5	3	16	2	4	1	13	9	24
2011014	821	277	10	5	2	3	8	2	3	7	1	1	19	5	2	32	25	2	3	12	1	6	17	15	12	3	8	54	16	7	2	20	10	9	6	4	17	3	5	7	14	1	16
2011015	919	809	0	6	1	4	9	3	4	1	8	9	20	6	1	33	26	3	4	13	8	7	0	16	13	4	9	55	17	1	3	21	11	10	7	5	18	4	6	1	15	9	17
2011016	376	777	1	7	2	5	10	4	5	7	1	1	21	7	2	34	27	4	5	7	1	8	1	17	14	5	10	56	18	7	4	22	12	11	8	6	19	5	7	7	16	1	21
2011017	560	813	2	1	3	3	11	5	6	1	8	2	22	8	3	35	28	5	6	1	8	9	2	1	15	6	11	57	19	1	5	23	13	12	9	3	20	6	8	1	17	2	12
2011018	288	141	3	1	4	1	4	6	7	2	1	3	23	1	4	36	29	6	7	2	1	10	3	1	16	7	4	58	20	2	6	24	14	1	10	1	21	7	9	2	18	3	6
2011019	801	358	4	1	5	3	1	5	8	3	8	4	24	1	5	3	30	7	8	3	2	11	4	2	17	8	1	5	21	3	7	25	15	1	11	2	22	8	10	3	8	4	16
2011020	196	164	5	1	6	1	4	1	6	4	1	5	25	1	6	1	31	8	9	4	3	12	5	3	18	9	2	1	6	4	8	26	16	2	12	3	4	9	11	4	1	5	11
2011021	318	215	6	1	2	2	1	5	1	5	2	6	26	1	2	2	32	9	10	5	4	13	6	1	19	10	3	2	1	5	9	27	17	3	13	4	1	5	12	5	2	6	8
2011022	059	782	7	1	2	3	2	1	2	7	8	7	27	2	1	3	33	10	11	7	5	14	7	1	20	11	4	3	2	6	8	28	18	4	2	5	2	1	13	6	3	7	17
