2018001	480	326	11
2018002	864	928	19
2018003	802	736	16
2018004	249	393	15
2018005	364	828	18
			
2018006	657	720	9
2018007	552	21	3
2018008	737	583	16
2018009	168	813	12
2018010	384	858	21
			
2018011	482	78	15
2018012	696	891	18
2018013	408	746	17
2018014	748	84	12
2018015	375	875	20
			
2018016	114	401	5
2018017	992	659	20
2018018	687	810	9
2018019	855	179	17
2018020	952	749	20
			
2018021	614	272	11
2018022	531	992	20
2018023	377	102	3
2018024	832	664	16
2018025	981	647	17
			
2018026	822	932	14
2018027	77	973	19
2018028	414	828	18
2018029	426	313	7
2018030	970	682	16
			
2018031	231	328	13
2018032	988	712	10
2018033	400	767	20
2018034	756	676	19
2018035	419	856	19
			
2018036	844	365	14
2018037	107	695	20
2018038	229	859	22
2018039	924	706	13
2018040	428	684	18
			
2018041	362	651	12
2018042	574	131	5
2018043	941	527	14
2018044	561	902	11
2018045	200	203	5
			
2018046	320	347	14
2018047	388	558	18
2018048	28	693	18
2018049	194	541	10
2018050	471	875	20
			
2018051	773	620	8
2018052	140	369	18
2018053	298	154	10
2018054	792	325	10
2018055	921	160	7
			
2018056	622	908	17
2018057	743	977	23
2018058	304	723	12
2018059	702	947	20
2018060	453	767	20
			
2018061	642	525	12
2018062	217	792	18
2018063	989	613	10
2018064	406	339	15
2018065	198	848	20
			
2018066	246	95	14
2018067	981	858	21
2018068	332	448	16
2018069	847	119	11
2018070	455	567	18
			
2018071	463	779	23
2018072	548	473	14
2018073	676	275	14
2018074	786	815	14
2018075	966	861	15
			
2018076	795	785	20
2018077	61	246	12
2018078	670	616	13
2018079	521	369	18
2018080	179	879	24
			
2018081	52	758	20
2018082	157	549	18
2018083	948	266	14
2018084	429	519	15
2018085	719	903	12
			
2018086	396	186	15
2018087	727	513	9
2018088	17	99	18
2018089	882	668	20
2018090	662	671	14
			
2018091	214	102	3
2018092	632	231	6
2018093	63	209	11
2018094	364	136	10
2018095	850	241	7
			
2018096	973	243	9
2018097	647	38	11
2018098	575	665	17
2018099	475	919	19
2018100	87	270	9
			
2018101	752	345	12
2018102	259	573	15
2018103	246	222	6
2018104	755	717	15
2018105	869	847	19
			
2018106	895	336	12
2018107	107	663	15
2018108	141	692	17
2018109	926	218	11
2018110	700	940	13
			
2018111	974	720	9
2018112	111	955	19
2018113	101	615	12
2018114	719	441	9
2018115	682	999	27
			
2018116	362	3	3
2018117	714	43	7
2018118	225	930	12
2018119	694	978	24
2018120	943	498	21
			
2018121	224	761	14
2018122	937	181	10
2018123	784	906	15
2018124	507	689	23
2018125	147	832	13
			
2018126	42	361	10
2018127	321	20	2
2018128	725	33	6
2018129	922	356	14
2018130	975	245	11
			
2018131	173	297	18
2018132	862	966	21
2018133	519	691	16
2018134	308	617	14
2018135	687	698	23
			
2018136	187	643	13
2018137	514	537	15
2018138	413	68	14
2018139	705	447	15
2018140	239	133	7
			
2018141	743	536	14
2018142	973	937	19
2018143	161	454	13
2018144	121	91	10
2018145	695	386	17
			
2018146	88	569	20
2018147	332	636	15
2018148	933	87	15
2018149	229	923	14
2018150	806	335	11
			
2018151	144	514	10
2018152	234	258	15
2018153	680	329	14
2018154	775	669	21
2018155	438	289	19
			
2018156	230	324	9
2018157	796	22	4
2018158	940	363	12
2018159	715	340	7
2018160	855	477	18
			
2018161	880	794	20
2018162	330	137	11
2018163	318	869	23
2018164	246	157	13
2018165	547	902	11
			
2018166	469	941	14
2018167	826	489	21
2018168	808	174	12
2018169	841	530	8
2018170	945	117	9
			
2018171	640	819	18
2018172	851	513	9
2018173	630	463	13
2018174	783	886	22
2018175	680	338	14
			
2018176	209	235	10
2018177	761	102	3
2018178	208	336	12
2018179	509	724	13
2018180	119	761	14
			
2018181	470	498	21
2018182	102	329	14
2018183	52	359	17
2018184	399	473	14
2018185	303	570	12
			
2018186	972	141	6
2018187	130	807	15
2018188	792	48	12
2018189	153	760	13
2018190	311	556	16
			
2018191	20	503	8
2018192	906	893	20
2018193	395	61	7
2018194	530	375	15
2018195	154	736	16
			
2018196	304	5	5
2018197	754	150	6
2018198	672	379	19
2018199	442	510	6
2018200	139	350	8
			
2018201	200	615	12
2018202	568	614	11
2018203	804	45	9
2018204	249	42	6
2018205	460	418	13
			
2018206	776	626	14
2018207	740	756	18
2018208	934	452	11
2018209	18	950	14
2018210	920	829	19
			
2018211	327	628	16
2018212	174	578	20
2018213	714	203	5
2018214	658	881	17
2018215	695	425	11
			
2018216	314	821	11
2018217	167	587	20
2018218	525	697	22
2018219	805	391	13
2018220	901	648	18
			
2018221	780	14	5
2018222	975	173	11
2018223	288	499	22
