2019001	985	644	14
2019002	227	272	11
2019003	831	435	12
2019004	821	118	10
2019005	391	501	6
			
2019006	365	755	17
2019007	829	370	10
2019008	716	587	20
2019009	192	746	17
2019010	301	538	16
			
2019011	29	266	14
2019012	509	131	5
2019013	237	910	10
2019014	760	794	20
2019015	796	230	5
			
2019016	888	683	17
2019017	237	559	19
2019018	655	142	7
2019019	295	797	23
2019020	408	428	14
			
2019021	627	88	16
2019022	223	173	11
2019023	1	767	20
2019024	897	637	16
2019025	384	237	12
			
2019026	735	594	18
2019027	39	301	4
2019028	149	741	12
2019029	769	546	15
2019030	786	280	10
			
2019031	546	793	19
2019032	892	161	8
2019033	313	207	9
2019034	930	667	19
2019035	974	888	24
			
2019036	593	434	11
2019037	906	756	18
2019038	74	988	25
2019039	795	754	16
2019040	162	754	16
			
2019041	593	428	14
2019042	692	579	21
2019043	409	96	15
2019044	729	20	2
2019045	778	357	15
			
2019046	224	145	10
2019047	12	923	14
2019048	580	326	11
2019049	968	801	9
2019050	54	948	21
			
2019051	135	13	4
2019052	464	527	14
2019053	541	136	10
2019054	546	849	21
2019055	110	128	11
			
2019056	407	639	18
2019057	413	760	13
2019058	80	20	2
2019059	450	140	5
2019060	852	411	6
			
2019061	750	94	13
2019062	815	408	12
2019063	18	971	17
2019064	404	587	20
2019065	86	32	5
			
2019066	471	308	11
2019067	152	488	20
2019068	85	441	9
2019069	144	876	21
2019070	3	798	24
			
2019071	334	6	6
2019072	648	521	8
2019073	816	330	6
2019074	153	265	13
2019075	170	12	3
			
2019076	656	5	5
2019077	519	972	18
2019078	833	46	10
2019079	194	539	17
2019080	440	341	8
			
2019081	147	431	8
2019082	855	871	16
2019083	394	982	19
2019084	354	978	24
2019085	214	505	10
			
2019086	318	283	13
2019087	64	174	12
2019088	183	936	18
2019089	550	450	9
2019090	408	789	24
			
2019091	993	526	13
2019092	91	630	9
2019093	674	258	15
2019094	42	891	18
2019095	149	935	17
			
2019096	941	66	12
2019097	734	243	9
2019098	852	87	15
2019099	590	738	18
2019100	633	487	19
			
2019101	197	559	19
2019102	210	559	19
2019103	909	750	12
2019104	695	593	17
2019105	456	382	13
			
2019106	842	40	4
2019107	852	177	15
2019108	575	515	11
2019109	381	136	10
2019110	859	612	9
			
2019111	653	716	14
2019112	152	922	13
2019113	637	238	13
2019114	27	558	18
2019115	557	466	16
			
2019116	890	47	11
2019117	850	296	17
2019118	542	418	13
2019119	282	249	15
2019120	913	900	9
			
2019121	291	608	14
2019122	126	865	19
2019123	623	157	13
2019124	0	211	4
2019125	86	81	9
			
2019126	745	470	11
2019127	88	758	20
2019128	364	980	17
2019129	762	504	9
2019130	155	298	19
			
2019131	50	31	4
2019132	15	787	22
2019133	268	219	12
2019134	680	394	16
2019135	165	789	24
			
2019136	575	670	13
2019137	368	347	14
2019138	566	331	7
2019139	311	849	21
2019140	624	276	15
			
2019141	495	315	9
2019142	579	792	18
2019143	119	471	12
2019144	662	388	19
2019145	126	315	9
			
2019146	204	13	4
2019147	949	470	11
2019148	587	362	11
2019149	14	350	8
2019150	212	258	15
			
2019151	362	347	14
2019152	874	51	6
2019153	973	326	11
2019154	891	632	11
2019155	149	50	5
			
2019156	878	879	24
2019157	348	626	14
2019158	174	708	15
2019159	602	170	8
2019160	286	135	9
			
2019161	232	972	18
2019162	596	33	6
2019163	920	894	21
2019164	550	951	15
2019165	332	883	19
			
2019166	895	531	9
2019167	14	813	12
2019168	818	61	7
2019169	662	60	6
2019170	434	578	20
			
2019171	204	661	13
2019172	700	416	11
2019173	73	846	18
2019174	587	848	20
2019175	741	464	14
			
2019176	24	501	6
2019177	698	61	7
2019178	894	796	22
2019179	458	402	6
2019180	819	926	17
			
2019181	751	168	15
2019182	292	351	9
2019183	164	729	18
2019184	181	60	6
2019185	240	194	14
			
2019186	82	157	13
2019187	602	112	4
2019188	920	446	14
2019189	494	317	11
2019190	841	464	14
			
2019191	493	287	17
2019192	542	746	17
2019193	79	943	16
2019194	333	550	10
2019195	29	734	14
			
2019196	272	853	16
2019197	85	544	13
2019198	23	594	18
2019199	969	3	3
2019200	928	14	5
			
2019201	63	941	14
2019202	622	249	15
2019203	568	140	5
2019204	452	390	12
2019205	104	500	5
			
2019206	989	879	24
2019207	321	924	15
2019208	187	674	17
2019209	441	306	9
2019210	391	371	11
			
2019211	813	123	6
2019212	942	786	21
2019213	451	245	11
2019214	475	780	15
2019215	608	487	19
			
2019216	376	408	12
2019217	403	361	10
2019218	825	532	10
2019219	203	475	16
2019220	101	10	1
			
2019221	177	484	16
2019222	290	155	11
2019223	724	405	9
2019224	686	43	7
2019225	776	601	7
			
2019226	420	252	9
2019227	151	265	13
2019228	563	54	9
2019229	595	845	17
2019230	179	887	23
			
2019231	765	110	2
2019232	786	789	24
2019233	218	610	7
2019234	831	340	7
2019235	753	770	14
			
2019236	20	219	12
2019237	644	959	23
2019238	900	217	10
2019239	990	138	12
2019240	370	664	16
			
2019241	292	608	14
2019242	739	691	16
2019243	766	682	16
2019244	343	575	17
2019245	477	812	11
			
2019246	231	615	12
2019247	548	670	13
2019248	217	262	10
2019249	559	719	17
2019250	668	575	17
			
2019251	173	50	5
2019252	167	831	12
2019253	193	281	11
2019254	432	575	17
2019255	408	263	11
			
2019256	883	18	9
2019257	146	10	1
2019258	432	103	4
2019259	602	989	26
2019260	106	997	25
			
2019261	328	591	15
2019262	146	103	4
2019263	404	949	22
2019264	715	987	24
2019265	668	999	27
			
2019266	600	985	22
2019267	214	898	25
2019268	878	373	13
2019269	920	417	12
2019270	425	478	19
			
2019271	332	695	20
2019272	350	7	7
2019273	116	134	8
2019274	141	493	16
2019275	52	497	20
			
2019276	224	873	18
2019277	964	46	10
2019278	384	842	14
2019279	139	266	14
2019280	137	61	7
			
2019281	613	980	17
2019282	118	858	21
2019283	160	444	12
2019284	946	562	13
2019285	182	59	14
			
2019286	647	293	14
2019287	525	715	13
2019288	146	758	20
2019289	414	362	11
2019290	409	328	13
			
2019291	41	882	18
2019292	579	68	14
2019293	659	663	15
2019294	426	612	9
2019295	788	877	22
			
2019296	262	345	12
2019297	436	956	20
2019298	581	335	11
2019299	990	328	13
2019300	384	936	18
			
2019301	59	109	10
2019302	732	426	12
2019303	828	909	18
2019304	212	465	15
2019305	191	439	16
			
2019306	126	153	9
2019307	421	36	9
2019308	531	672	15
