2017001	956	369	18	8	6		1	1	3	3	2	2	6	15	5	9		6	1	11	3	2	14	33	27	8	4		12	1	3	32	4	14	6	27	6	19		1	18	4	9	6	2	7	15	5	9		6	1	2:01	2:01	3:00:00
2017002	979	779	23	3	2		2	2	4	1	3	3	1	7	6	9		7	2	12	1	3	15	34	7	9	5		13	2	4	33	5	15	1	7	7	20		2	19	5	10	7	3	8	16	6	9		1	3	3:00	3:00	1:02:00
2017003	320	650	11	1	6		0	3	5	2	4	5	6	1	7	1		8	3	13	2	4	16	6	1	10	6		14	3	5	34	6	5	2	1	8	21		0	20	6	11	8	4	9	17	7	1		6	1	1:02	2:01	2:00:01
2017004	546	317	11	1	6		1	1	6	3	5	1	1	7	8	2		9	4	14	3	5	17	1	2	11	7		15	1	6	35	7	1	3	2	9	22		1	21	7	12	9	5	10	7	8	2		6	2	3:00	1:02	1:02:00
2017005	249	246	12	2	4		2	1	2	1	4	2	6	1	9	3		10	5	2	1	6	18	2	3	12	8		16	1	7	36	4	2	4	3	10	23		2	22	8	13	10	6	6	1	9	3		6	3	0:03	1:02	1:01:01
																																																							
2017006	465	888	24	4	0		3	2	1	2	1	3	1	2	8	4		11	6	1	2	7	19	3	4	8	9		17	2	8	37	1	3	5	4	8	24		3	23	9	14	11	7	1	2	8	4		1	3	0:03	3:00	0:00:03
2017007	888	783	18	8	5		4	3	2	3	2	4	2	7	8	5		12	7	2	3	8	20	4	7	1	10		18	3	9	38	2	4	6	5	8	25		4	24	10	3	12	8	2	3	1	5		6	5	2:01	2:01	1:01:01
2017008	702	169	16	6	8		5	1	3	1	3	5	6	1	1	9		13	1	3	4	9	21	5	1	2	11		19	4	10	39	3	5	6	6	1	26		5	25	11	1	13	9	3	4	2	9		6	6	2:01	2:01	2:01:00
2017009	754	202	4	4	2		0	1	2	2	4	6	1	2	2	1		14	1	2	5	10	22	6	2	3	12		0	5	11	40	4	6	1	7	2	27		6	26	2	2	14	10	4	5	3	1		1	3	0:03	0:03	1:00:02
2017010	332	976	22	2	3		1	2	1	3	5	7	6	7	3	9		15	2	1	6	11	23	7	3	4	9		1	6	12	41	5	7	2	7	3	28		7	27	1	3	15	11	6	6	4	2		6	1	2:01	3:00	2:01:00
																																																							
2017011	534	909	18	8	9		0	3	2	4	6	8	1	1	4	9		16	3	2	7	12	24	8	4	5	9		0	7	13	42	6	8	3	1	4	29		8	28	2	4	16	12	1	7	5	9		1	3	2:01	2:01	3:00:00
2017012	775	125	8	8	4		1	1	2	5	7	5	2	2	5	1		17	1	3	8	13	25	9	5	6	1		1	8	2	43	7	9	4	2	5	30		9	29	3	5	17	5	2	8	6	1		6	1	2:01	1:02	0:01:02
