2012001	867	309	0	2	1	3	1	1	9	3	4	9	6	2	1	3	4	7	20	10	21	3	0	3	16	12	8	1	9	11	4	2	14	10	6	2	1	8	26	3	4	9	12
2012002	900	209	0	3	2	1	2	2	10	4	5	9	7	3	2	1	5	8	21	11	22	4	0	4	17	13	9	2	10	12	5	3	15	11	7	3	2	9	27	4	5	9	11
2012003	640	750	0	4	1	2	3	5	11	7	6	1	8	4	1	2	6	9	22	7	23	5	1	5	18	14	10	5	11	13	6	4	0	12	8	4	3	10	28	5	6	1	12
2012004	094	960	0	5	2	3	4	1	6	1	7	9	9	5	2	3	7	10	23	1	24	9	2	6	19	15	11	1	6	14	7	5	0	13	9	5	4	11	29	6	7	2	15
2012005	361	135	1	1	3	3	5	5	1	2	8	1	10	1	3	4	8	11	24	2	25	1	3	7	20	3	12	2	1	15	8	6	1	14	10	6	5	5	30	7	8	3	9
2012006	327	882	2	1	2	1	6	1	2	3	8	2	11	1	4	5	9	12	25	3	8	2	4	8	21	1	13	3	2	16	8	7	2	15	2	7	6	1	31	8	9	4	18
2012007	776	880	0	2	1	2	7	2	3	4	8	3	12	2	5	6	10	13	26	4	8	3	5	9	22	2	14	4	3	17	8	8	0	16	1	8	7	2	32	9	10	5	16
2012008	989	497	1	3	2	3	4	3	4	7	1	9	13	3	6	7	4	14	27	5	1	4	6	10	23	3	15	5	4	18	1	9	1	17	2	9	8	3	33	7	11	6	20
2012009	917	166	2	1	3	4	1	4	6	1	2	1	14	1	7	8	1	15	28	6	2	5	7	11	24	4	16	6	6	19	2	1	2	18	3	10	9	4	6	1	12	7	13
2012010	278	594	3	1	4	5	4	5	1	2	3	9	15	1	8	9	2	5	29	7	3	6	8	12	25	5	17	7	1	20	3	9	3	19	4	11	4	5	1	2	13	8	18
2012011	533	315	4	1	5	3	1	5	2	3	4	1	16	2	9	3	3	1	30	8	4	7	9	1	26	6	18	8	2	21	4	1	4	20	5	12	1	5	2	3	14	9	9
2012012	026	224	5	1	2	1	4	1	3	4	5	2	17	3	2	1	4	2	31	9	5	8	10	1	2	7	19	9	3	22	5	2	5	21	6	13	4	1	3	4	15	10	8
2012013	428	317	6	1	1	3	1	2	4	7	6	3	18	4	1	3	5	3	32	10	6	9	11	1	1	8	20	10	4	23	6	3	6	22	7	14	1	2	4	7	16	11	11
2012014	795	637	7	1	2	3	2	3	6	7	7	4	19	5	2	1	6	4	6	11	7	10	12	1	2	3	21	11	5	24	7	4	7	23	8	15	2	3	5	7	17	12	16
2012015	484	180	0	1	3	1	3	4	1	1	8	5	20	1	3	2	7	5	1	12	8	11	13	2	3	1	22	12	6	25	8	5	0	24	9	16	3	4	6	1	18	13	9
2012016	832	749	1	1	4	2	4	5	2	7	1	9	21	1	4	3	8	6	2	7	9	12	14	3	4	2	4	13	7	26	1	6	1	25	10	17	4	5	7	2	19	9	20
2012017	275	538	2	2	5	3	1	5	3	1	8	1	22	2	5	4	9	5	3	1	10	13	15	4	5	3	1	14	8	27	2	7	2	26	11	18	5	6	8	3	8	1	16
2012018	073	030	0	3	6	3	2	1	4	2	1	2	0	3	6	5	10	1	4	2	11	14	16	5	6	3	2	15	9	28	3	8	0	27	12	19	6	7	9	4	1	2	3
2012019	924	045	0	4	7	1	4	5	5	3	2	3	0	4	7	6	11	2	5	3	12	15	17	6	7	1	4	16	10	29	4	9	1	28	13	20	7	5	10	5	2	3	9
2012020	318	446	1	5	8	2	4	1	6	4	3	4	1	5	8	7	4	3	6	4	13	16	18	7	8	2	4	17	11	30	5	10	2	29	14	21	8	1	6	6	3	4	14
2012021	381	967	2	6	9	3	1	2	6	7	4	9	2	6	9	8	1	4	7	5	14	9	19	8	9	3	1	18	6	31	6	11	3	30	15	22	9	2	1	7	4	5	22
2012022	075	425	3	7	2	4	4	5	1	1	5	1	3	7	10	9	4	5	8	6	15	1	20	9	2	4	2	19	1	32	7	12	4	31	16	23	10	5	2	1	5	6	11
2012023	268	633	4	8	1	3	1	1	6	2	6	2	4	8	11	10	1	6	6	7	16	2	21	10	1	3	3	20	2	33	8	13	5	32	17	3	11	1	3	2	6	7	12
2012024	237	997	5	9	2	1	2	2	1	7	7	9	5	9	12	11	2	7	1	8	17	9	22	11	2	1	4	21	3	34	9	9	6	33	18	1	12	2	4	7	7	8	25
2012025	013	755	6	10	3	2	3	5	2	7	8	1	6	10	13	12	3	8	2	7	18	1	23	12	3	2	5	5	4	35	10	1	7	34	19	2	13	5	5	1	8	9	17
2012026	102	746	7	11	4	3	4	1	6	7	9	2	7	11	14	13	4	9	3	7	19	2	24	13	4	3	4	1	5	36	11	2	8	35	20	3	14	1	6	2	9	10	17
2012027	528	263	8	12	2	3	1	2	6	1	10	3	8	12	2	14	5	10	4	1	20	3	25	14	5	4	1	2	6	37	12	3	9	36	21	3	15	2	1	3	10	11	11
2012028	429	731	9	1	1	3	2	3	1	7	11	4	9	13	1	15	6	11	5	7	21	4	26	15	6	3	2	3	1	38	13	4	10	1	22	1	16	3	2	4	11	12	11
2012029	702	100	0	1	2	1	3	4	2	1	12	5	10	1	2	16	7	12	6	1	22	5	0	16	7	1	3	4	2	39	14	5	0	1	23	2	17	4	3	5	12	13	1
2012030	562	982	1	1	2	2	4	5	3	2	8	9	11	1	3	17	8	13	7	2	23	9	1	17	8	2	4	5	3	40	8	6	1	2	2	3	18	5	4	6	13	14	19
2012031	630	195	2	1	1	3	5	5	4	3	1	9	12	1	4	18	9	14	8	3	24	1	2	18	9	3	5	6	4	41	1	9	2	3	1	4	19	5	5	7	14	15	15
2012032	767	421	3	1	2	4	4	1	5	4	2	1	13	1	5	19	4	15	9	4	25	2	3	19	2	4	6	7	5	42	2	1	3	1	2	5	20	1	6	8	15	16	7
2012033	904	865	4	1	1	5	1	5	6	5	8	2	14	2	6	20	1	16	10	5	8	3	4	20	1	5	7	8	6	43	3	2	4	1	3	6	21	5	7	9	16	17	19
2012034	279	465	5	2	2	6	4	5	6	6	1	3	15	3	7	21	4	17	11	6	1	4	5	21	2	6	8	9	6	44	4	3	5	2	4	7	22	5	8	10	17	18	15
2012035	784	369	6	3	3	3	1	1	6	7	2	9	16	4	8	3	1	18	12	7	2	5	6	22	3	7	9	10	6	45	5	4	6	3	5	8	23	1	9	11	18	9	18
2012036	697	287	7	4	2	1	2	2	1	7	8	1	17	5	2	1	2	19	13	8	3	6	7	23	4	8	10	11	1	46	8	5	7	4	6	9	24	2	10	7	19	1	17
2012037	905	978	8	5	1	2	3	3	2	7	8	9	18	6	1	2	3	20	14	9	4	9	8	24	5	9	11	12	2	7	1	6	8	5	7	10	25	3	11	1	8	2	24
2012038	565	032	0	6	2	3	4	4	3	1	1	1	0	7	2	3	4	21	15	10	5	1	9	25	6	3	12	13	3	1	2	7	9	6	2	11	26	4	12	2	1	3	5
2012039	793	757	1	7	1	1	5	5	4	7	2	2	1	8	3	4	5	22	16	7	6	2	10	26	7	1	13	5	4	2	3	8	10	7	1	12	27	5	13	7	2	4	19
2012040	288	470	0	8	2	2	4	1	5	7	3	3	2	9	4	5	4	23	17	1	7	3	11	27	8	2	14	1	5	7	4	9	0	8	2	13	28	6	14	1	3	5	11
2012041	756	664	1	9	3	3	4	2	6	1	4	4	3	10	5	6	1	24	6	2	8	4	12	28	9	3	15	2	6	1	5	10	1	9	3	14	4	7	15	2	4	6	16
2012042	110	001	0	1	4	4	1	3	1	2	5	5	0	11	6	7	2	25	1	3	9	5	0	29	10	4	16	3	1	2	6	11	2	1	4	15	1	8	16	3	5	7	1
2012043	069	525	1	1	2	5	2	5	2	3	6	6	1	12	7	8	3	5	2	4	10	6	1	30	2	5	17	4	2	3	7	12	3	1	5	16	2	5	17	4	6	8	12
2012044	429	723	2	2	2	3	3	1	3	7	7	7	2	13	8	9	4	1	3	7	11	7	2	31	2	6	18	5	3	4	8	13	4	2	6	3	3	1	18	5	7	9	12
2012045	220	026	0	3	2	1	4	2	6	1	8	8	0	14	9	10	5	2	4	1	12	8	3	32	2	7	19	6	4	5	9	14	5	3	7	1	4	2	6	6	8	10	8
2012046	423	493	1	4	1	3	4	3	1	2	9	9	1	15	10	11	4	3	5	2	13	9	4	33	1	8	20	7	5	6	10	9	6	4	8	3	5	3	1	7	9	11	16
2012047	682	642	2	5	2	1	4	4	6	3	10	1	2	16	11	12	1	4	6	3	14	10	5	34	2	9	4	8	6	7	11	1	7	5	2	1	6	4	2	8	10	12	12
2012048	372	875	3	6	1	2	1	5	1	7	8	2	3	17	12	13	2	5	1	4	8	11	6	35	3	10	1	9	7	7	12	2	8	6	1	2	7	5	3	9	11	13	20
2012049	769	808	0	7	2	3	2	1	2	1	8	3	4	18	13	14	3	6	2	5	8	12	0	36	4	11	2	10	8	1	13	3	9	7	2	3	8	1	4	10	8	14	16
2012050	756	035	0	8	3	3	3	5	3	2	1	4	0	19	14	15	4	7	3	6	1	13	1	37	5	3	3	11	9	2	14	4	10	8	3	4	9	5	5	11	1	15	8
2012051	667	302	0	9	2	3	4	1	4	3	2	5	1	20	15	3	5	8	4	7	2	14	0	38	6	1	4	12	10	3	15	5	11	9	2	5	10	1	6	12	2	16	5
2012052	707	355	1	10	1	3	5	5	5	4	3	6	2	21	16	3	6	9	5	8	3	15	1	39	7	2	5	5	11	4	16	6	12	10	1	6	11	5	7	13	3	17	13
2012053	338	663	2	11	2	3	6	1	6	5	4	7	3	22	17	1	7	10	6	9	4	16	2	40	8	3	6	1	6	5	17	7	13	11	2	3	12	1	8	14	4	18	15
2012054	458	103	0	1	3	3	7	2	1	6	5	8	4	1	18	2	8	11	1	10	5	17	0	41	9	4	7	2	1	6	18	8	14	12	3	3	13	2	9	15	5	19	4
2012055	659	712	1	1	2	1	8	3	2	7	6	9	5	1	19	3	9	12	2	7	6	18	1	1	10	5	8	3	2	7	19	9	15	13	2	1	14	3	10	16	6	20	10
2012056	181	607	0	1	1	2	9	4	6	7	7	10	6	2	20	4	10	13	6	1	7	19	0	1	11	6	9	4	3	8	20	10	16	14	1	2	15	4	11	7	7	21	13
2012057	975	608	0	2	2	3	10	5	6	1	8	11	7	3	21	5	11	14	6	2	8	20	0	2	12	7	10	5	4	9	21	11	17	15	2	3	16	5	12	1	8	22	14
2012058	707	096	0	3	3	4	11	6	6	2	1	9	0	4	22	6	12	15	1	3	9	21	1	3	13	8	11	6	5	10	22	9	18	16	3	4	17	6	6	2	1	23	15
2012059	288	269	1	4	2	5	12	7	6	3	2	9	1	5	2	7	13	16	2	4	10	22	2	4	14	9	12	7	6	11	23	1	19	17	4	5	18	7	1	3	2	9	17
2012060	282	492	2	5	2	6	4	8	1	4	3	9	2	6	1	8	4	17	3	5	11	23	3	5	15	10	13	8	1	12	24	9	20	18	2	6	19	8	2	4	3	1	15
2012061	002	763	3	6	1	3	1	9	6	7	4	1	3	7	2	9	1	18	4	7	12	24	4	6	16	11	14	9	6	13	25	1	21	19	1	3	20	9	3	5	4	2	16
2012062	558	023	0	7	2	3	2	10	1	1	5	2	0	8	3	10	2	19	5	1	13	25	5	7	2	12	15	10	1	14	26	2	22	20	2	3	21	10	4	6	5	3	5
2012063	877	128	1	1	2	1	3	11	2	2	8	3	1	1	4	11	3	20	6	2	14	26	6	8	2	13	16	11	2	15	27	3	23	21	3	1	22	11	5	7	8	4	11
2012064	803	478	2	1	1	2	4	12	3	7	8	4	2	1	5	12	4	21	7	3	15	27	7	9	1	14	17	12	3	7	28	4	24	22	4	2	23	12	6	8	8	5	19
2012065	558	775	3	2	2	3	1	5	4	7	1	5	3	2	6	13	1	22	8	7	16	28	8	10	2	15	18	13	4	7	29	5	25	23	5	3	24	5	7	9	1	6	19
2012066	536	648	4	3	3	4	4	1	6	1	8	6	4	3	7	14	2	23	6	1	17	29	9	11	3	16	4	14	5	1	30	6	26	24	6	4	25	1	8	10	8	7	18
2012067	476	193	5	1	4	3	1	2	1	2	1	9	5	1	8	15	3	24	1	2	18	30	10	12	4	17	1	15	6	2	31	9	27	25	7	3	26	2	9	11	1	8	13
2012068	251	856	6	1	5	1	2	5	6	3	8	1	6	1	9	16	4	25	2	3	8	31	11	13	5	18	2	5	7	3	32	1	28	26	8	1	27	3	6	12	2	9	19
2012069	921	693	7	2	6	3	3	1	6	4	1	9	7	2	10	17	5	26	6	4	1	32	12	14	6	19	3	1	8	4	33	9	29	27	9	3	28	4	1	13	3	10	18
2012070	965	757	8	3	7	1	4	5	1	7	2	1	8	3	11	18	6	27	1	7	2	33	13	15	7	20	4	5	9	5	34	1	30	28	10	1	29	5	2	7	4	11	19
2012071	705	759	9	4	8	2	5	5	2	7	3	9	9	4	12	19	7	28	2	7	3	34	14	16	8	21	5	5	10	6	35	2	31	29	11	2	30	6	3	1	5	9	21
2012072	032	795	10	5	9	3	6	5	3	7	4	9	10	5	13	20	8	29	3	7	4	35	15	17	9	22	6	1	11	7	36	9	32	30	12	3	31	5	4	2	6	1	21
2012073	852	069	0	6	10	4	7	1	6	1	5	9	0	6	14	21	9	30	4	1	5	36	16	18	10	23	7	2	6	8	37	1	33	31	13	4	32	1	5	3	7	9	15
2012074	567	841	1	1	11	5	4	2	1	2	8	1	1	7	15	22	10	31	5	2	8	37	17	19	11	24	4	3	1	9	38	2	34	1	14	5	33	2	6	4	8	1	13
2012075	703	537	2	1	12	3	1	5	2	7	1	2	2	8	16	23	11	5	6	3	1	38	18	20	12	3	1	4	2	10	39	3	35	1	15	6	34	3	7	7	9	2	15
2012076	306	606	0	2	13	1	2	1	6	1	2	3	3	9	17	24	12	1	6	4	2	39	0	21	13	1	2	5	3	11	40	4	36	2	16	7	35	4	6	1	10	3	12
2012077	152	388	1	3	14	3	3	2	1	2	8	4	4	10	18	3	13	2	1	5	3	40	1	22	14	2	3	6	4	12	8	5	37	3	17	8	36	5	1	2	8	4	19
2012078	733	122	2	1	2	1	4	3	2	3	1	5	5	1	19	1	14	3	2	6	4	41	2	23	2	3	4	7	5	13	1	6	38	4	2	9	37	6	2	3	1	5	5
2012079	463	457	3	1	1	2	4	5	3	7	2	6	6	1	20	2	4	4	3	7	5	42	3	24	1	4	5	5	6	14	2	7	39	5	1	10	38	7	3	7	2	6	16
2012080	909	482	4	2	2	3	4	1	4	1	8	7	7	2	21	3	4	5	4	8	6	43	4	25	2	5	6	1	7	15	8	8	40	6	2	11	39	8	4	1	3	7	14
2012081	764	922	5	3	2	4	1	2	5	2	1	9	8	3	22	4	1	6	5	9	7	9	5	26	2	6	7	2	8	16	1	9	41	7	2	12	40	9	5	2	4	8	13
2012082	910	325	6	4	2	3	2	5	6	3	2	1	9	4	23	3	2	7	6	10	8	1	6	27	2	7	8	3	9	17	2	10	42	8	1	13	41	5	6	3	5	9	10
2012083	811	116	7	1	1	1	3	1	6	4	3	2	10	1	24	1	3	8	7	11	9	2	7	1	1	8	9	4	10	18	3	11	43	9	2	14	42	1	6	4	6	10	8
2012084	697	618	8	1	2	2	4	2	6	5	8	3	11	1	25	2	4	9	6	12	10	3	8	1	2	9	10	5	11	19	4	12	44	10	3	15	43	2	1	5	8	11	15
2012085	248	912	9	1	2	3	5	3	1	6	1	9	12	2	26	3	5	10	1	13	11	9	9	1	3	10	11	6	12	20	5	13	45	11	2	16	44	3	2	6	1	12	12
2012086	275	973	10	1	1	3	6	4	2	7	2	9	13	3	27	4	6	11	2	14	12	9	10	1	4	11	12	7	13	7	6	14	46	12	1	3	45	4	3	7	2	13	19
2012087	561	544	11	2	2	1	4	5	3	1	3	1	14	4	28	5	7	5	3	15	13	1	11	2	5	12	4	8	14	1	7	15	47	13	2	1	4	5	4	8	3	14	13
2012088	236	363	12	3	3	3	1	1	6	2	4	2	15	5	29	3	8	1	4	16	14	2	12	3	6	13	1	9	6	2	8	16	48	14	3	3	1	6	5	9	4	15	12
2012089	939	080	0	4	4	1	2	2	1	3	8	3	0	6	30	1	9	2	5	17	15	3	13	4	7	14	2	10	1	3	8	17	0	15	4	1	2	7	6	10	5	16	8
2012090	827	549	1	5	5	2	4	5	2	4	1	9	1	7	31	2	10	5	6	18	16	4	14	5	8	15	4	11	2	4	1	18	1	16	5	2	3	8	7	11	6	9	18
2012091	885	220	0	6	2	3	1	1	3	5	2	1	2	8	2	3	11	1	7	19	17	5	15	6	2	16	1	12	3	5	2	19	0	17	6	3	4	9	8	12	7	1	4
2012092	620	553	1	7	1	3	2	5	4	6	3	2	3	9	1	4	12	5	8	20	18	6	16	7	1	17	2	5	4	6	3	20	1	18	7	3	5	10	9	13	8	2	13
2012093	902	002	0	8	2	1	3	1	5	7	4	3	0	10	2	5	13	1	9	21	19	7	0	8	2	18	3	1	5	7	4	21	2	19	2	1	6	11	10	14	9	3	2
2012094	355	668	1	9	1	2	4	2	6	8	8	4	1	11	3	6	14	2	6	22	20	8	1	9	3	19	4	2	6	8	5	22	3	20	1	2	7	12	11	15	8	4	20
2012095	216	588	2	10	2	3	5	5	1	9	8	5	2	12	4	7	15	5	1	23	21	9	2	10	4	20	5	3	1	9	8	23	4	21	2	3	8	13	12	16	8	5	21
2012096	597	870	0	11	3	4	6	1	2	7	8	6	3	13	5	8	16	1	2	24	8	10	3	11	5	21	6	4	2	7	1	24	0	22	3	4	9	14	13	17	1	6	15
2012097	567	861	1	1	4	5	7	2	6	1	8	7	4	14	6	9	17	2	3	25	8	11	4	12	6	22	7	5	6	1	2	25	1	1	4	5	10	15	14	18	2	7	15
2012098	912	996	2	1	5	6	8	3	6	2	1	9	5	15	7	10	18	3	4	26	1	9	5	13	7	23	8	6	1	2	3	9	2	1	5	6	11	16	6	19	3	8	24
2012099	983	405	0	2	6	7	4	5	1	3	2	1	6	16	8	11	4	4	5	27	2	1	0	14	8	24	9	7	2	3	4	1	3	2	6	7	12	5	1	20	4	9	9
2012100	122	413	1	1	7	3	4	1	2	4	3	2	7	17	9	12	4	5	6	28	3	2	1	1	9	25	10	8	3	4	5	2	4	3	7	3	13	1	2	21	5	10	8
